ОКПО;ИНН;Грузоотправитель;Холдинг грузоотправителя
31339131;3803302075;ТИМОКС, ООО;Прочие
37556376;5027182999;ТИМОША, ООО;Прочие
87121471;5020092513;ТИМТРАНСГРУПП, ООО;Прочие
11525496;2543143277;ТИС ЛОДЖИСТИК, ООО;Прочие
49162197;4217205226;ТИТАН ЛОГИСТИК, ООО;Прочие
69346002;4512007454;ТИТАН, ООО;Прочие
15451725;4715031371;ТИХВИНСКИЙ ГОРТОПСБЫТ, ООО;Прочие
55549084;1651089402;ТК АВМ, ООО;Прочие
5727327;2801225377;ТК АЛЬБАТРОС, ООО;Прочие
2026630;2465144055;ТК АСКИЗ, ООО;Прочие
35271770;2721218776;ТК АТР, ООО;Прочие
27205121;6147039103;ТК АЮТ, ООО;Прочие
10734694;3810334127;ТК БАРГУЗИН ТРАНС, ООО;Прочие
38952849;5406999880;ТК БЭСТ КОМПАНИ, ООО;Прочие
16031988;2721231449;ТК ВАГОНСЕРВИС, ООО;Прочие
39894657;2543089171;ТК ВИСЛАВА, ООО;Прочие
52415271;5012088880;ТК ВОГ, ООО;Прочие
80925427;2537046966;ТК ВОСТОК-А, ООО;"ООО ""ТРАНЗИТ"""
34703411;1901140005;ТК ВОСТОЧНЫЙ, ООО;Прочие
6462859;6678079087;ТК ДЕЛИС ТРАНС, ООО;Прочие
43559060;5507275570;ТК ЖД ЛОГИСТ, ООО;Прочие
1270990;7839036226;ТК ЖЕЛДОРКОМ, ООО;Прочие
10442733;3254514220;ТК КАРГО-СЕРВИС, ООО;Прочие
55766373;5406833860;ТК КИА ЛОГИСТИКА, ООО;Прочие
47271031;6678111478;ТК КОНТЕЙНЕРНЫЕ ПЕРЕВОЗКИ, ООО;Прочие
22178520;2801209590;ТК КОНТЕЙНЕРНЫЙ СЕРВИС, ООО;Прочие
51013671;7536187949;ТК КУРС, ООО;Прочие
41807200;2722129656;ТК ЛЕГИОН, ООО;Прочие
37151314;7707760827;ТК ЛОГИСТИЧЕСКИЕ РЕШЕНИЯ, ООО;Прочие
65614322;6659201670;ТК ЛОГИСТИЧЕСКИЙ СЕРВИС, ООО;Прочие
55437209;1650430281;ТК МЕТАЛЛСТРОЙСЕРВИС, ООО;Прочие
35366447;2502059890;ТК МИЛЯ, ООО;Прочие
38813473;5405455083;ТК МИР, ООО;Прочие
44069197;3811469007;ТК МИР, ООО;Прочие
31203234;7459002904;ТК НАДЕЖНЫЕ ЛИНИИ, ООО;Прочие
9640445;7811524223;ТК НЕРУД, ООО;Прочие
87537533;7723667906;ТК НОВОТЭК, ООО;Прочие
96684291;2721253474;ТК НОВЫЙ ВЕКТОР, ООО;Прочие
446569;2225168790;ТК ПАРК, ООО;Прочие
