index;Группа груза;Код группы;Груз;Холдинг грузоотправителя;Грузоотправитель;Дорога отправления;Станция отправления;Код ЕСР станции отправления;Дорога назначения;Станция назначения;Код ЕСР станции назначения;КЛЮЧ_КОД_МАРШРУТА;vid;Полигон;Вид сообщения;Род вагона;Тип отправки;Расстояние перевозки (гружёный рейс), км;Расстояние перевозки (порожний рейс), км;Загрузка в вагон, т.;Возврат порожних вагонов,%;Срок доставки, гружёный рейс;Срок доставки,порожний рейс;Срок доставки, погр./выгр.;Ставка на вагон, руб. за вагон в сутки;"Расходы по оплате услуг ОАО ""РЖД"", руб. за тонну (груженый пробег)";"Расходы по оплате услуг ОАО ""РЖД"", руб. за тонну (порожний пробег)";"Расходы по оплате услуг ОАО ""РЖД"", руб. за тонну (итого)";Расходы по оплате услуг операторов_2024, руб. за тонну;Расходы на перевалку_2024, руб. за тонну;Акциз/пошлина;Общие транспортные расходы, руб. за тонну ;Себестоимость добычи/производства, руб. т.;Общие расходы, руб. за тонну;Стоимость 1 тонны на рынке, руб./т.;fraht_2024;fraht_2025;fraht_2026;fraht_2027;fraht_2028;fraht_2029;fraht_2030;fraht_2031;fraht_2032;fraht_2033;fraht_2034;fraht_2035;ipem_gr;ipem_pr;key;typical_index;price_coeff_2025;price_coeff_2026;price_coeff_2027;price_coeff_2028;price_coeff_2029;price_coeff_2030;price_coeff_2031;price_coeff_2032;price_coeff_2033;price_coeff_2034;price_coeff_2035;elastic_category
161;Уголь каменный;1;УГОЛЬ Г;"АО ""Талтэк""";ТАЛТЭК, АО;ЗСБ;ЕРУНАКОВО;86300;СКВ;САМУР-ЭКСП;54490;86300_54490;Экспорт;Юг;Экспорт (Юг);Полувагоны;повагонная;4 619;4 619;69;;25;24;4;2 470,00;2 113,70;973,20;3 086,90;1 897,25;;;4 984,15;4 426,45;9 410,60;6895,2;0;0;0;0;0;0;0;0;0;0;0;0;1371070;26688;Уголь каменныйЭкспортЮг;0;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
162;Уголь каменный;1;УГОЛЬ Д;"ООО ""Промугольсервис""";ПРОМУГОЛЬСЕРВИС, ООО;ЗСБ;ЕРУНАКОВО;86300;СКВ;ТУАПСЕ-СОР-Э;53310;86300_53310;Экспорт;Юг;Экспорт (Юг);Полувагоны;маршрутная;4 618;4 618;69;;11;12;4;2 470,00;1 978,96;907,92;2 886,88;966,52;872,24;;4 725,64;3 342,25;8 067,90;6895,2;0;0;0;0;0;0;0;0;0;0;0;0;1371070;26688;Уголь каменныйЭкспортЮг;0;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
163;Уголь каменный;1;УГОЛЬ Г;"АО ""Талтэк""";ТАЛТЭК, АО;ЗСБ;ЕРУНАКОВО;86300;ДВС;ВЛАДИВОСТ-ЭК;98020;86300_98020;Экспорт;Восток;Экспорт (Восток);Полувагоны;маршрутная;6 095;6 095;69;;13;14;4;2 470,00;2 350,57;1 068,11;3 418,68;1 109,71;1 292,85;;5 821,24;4 426,45;10 247,69;8015,67;0;0;0;0;0;0;0;0;0;0;0;0;1368014;26688;Уголь каменныйЭкспортВосток;98;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
164;Уголь каменный;1;УГОЛЬ Д;"ООО ""Промугольсервис""";РЕСУРС, ООО;ЗСБ;ЕРУНАКОВО;86300;ОКТ;ЛУЖСКАЯ-ЭКСП;7640;86300_7640;Экспорт;Северо-Запад;Экспорт (Северо-Запад);Полувагоны;маршрутная;4 177;4 177;69;;11;12;4;2 470,00;1 873,97;835,77;2 709,74;966,52;1 034,28;;4 710,54;3 342,25;8 052,79;5645,445;0;0;0;0;0;0;0;0;0;0;0;0;1370500;26688;Уголь каменныйЭкспортСеверо-Запад;76;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
165;Уголь каменный;1;УГОЛЬ Т;"ООО ""МелТЭК""";МЕЛТЭК, ООО;ЗСБ;АБАГУР-ЛЕСН.;86430;СЕВ;ВОХТОГА;30360;86430_30360;Внутр. перевозки;Северо-Запад;Внутр. перевозки (Северо-Запад);Полувагоны;группа вагонов;3 386;3 386;75;;11;12;4;3 032,00;1 321,47;719,97;2 041,44;1 091,52;;;3 132,96;3 342,25;6 475,21;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1374358;26688;Уголь каменныйВнутр. перевозкиСеверо-Запад;25;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
166;Уголь каменный;1;АНТРАЦИТ;"ООО ""Башкирский промышленный холдинг"" (ООО""Сибкапитал"")";РАЗРЕЗ КИЙЗАССКИЙ, ООО;ЗСБ;ЛИНЕВО;85270;СВР;ЗАЯЧЬЯ ГОРКА;76940;85270_76940;Внутр. перевозки;Юг;Внутр. перевозки (Юг);Полувагоны;повагонная;2 223;2 223;69;;9;9;4;2 470,00;1 304,33;640,15;1 944,48;787,54;;;2 732,02;6 527,30;9 259,32;3175,51;0;0;0;0;0;0;0;0;0;0;0;0;1365610;26688;Уголь каменныйВнутр. перевозкиЮг;97;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
167;Уголь каменный;1;УГОЛЬ Т;"ООО ""Башкирский промышленный холдинг"" (ООО""Сибкапитал"")";РАЗРЕЗ КОЛЫВАНСКИЙ, АО;ЗСБ;МЫСКИ;86470;ДВС;ХАБАРОВСК 1;97040;86470_97040;Внутр. перевозки;Восток;Внутр. перевозки (Восток);Полувагоны;группа вагонов;4 998;4 998;69;;16;17;4;2 470,00;1 516,51;1 017,19;2 533,70;1 324,49;;;3 858,19;6 527,30;10 385,49;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1374142;26688;Уголь каменныйВнутр. перевозкиВосток;24;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
168;Уголь каменный;1;УГОЛЬ Д;"ЗАО ""Стройсервис""";ЦЕНТРАЛЬНОЕ, АО;ЗСБ;БЕЛОВО;86230;ОКТ;ЛУЖСКАЯ-ЭКСП;7640;86230_7640;Экспорт;Северо-Запад;Экспорт (Северо-Запад);Полувагоны;маршрутная;4 085;4 085;69;;11;12;4;2 470,00;1 832,12;821,10;2 653,22;966,52;1 034,28;;4 654,02;6 198,40;10 852,42;5645,445;0;0;0;0;0;0;0;0;0;0;0;0;1370448;26688;Уголь каменныйЭкспортСеверо-Запад;76;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
169;Уголь каменный;1;УГОЛЬ Д;"АО ""Русский уголь""";РАЗРЕЗ КИРБИНСКИЙ, ООО;КРС;КАМЫШТА;88760;МСК;СУРАЖ-ЭКСП;20280;88760_20280;Экспорт;Северо-Запад;Экспорт (Северо-Запад);Полувагоны;повагонная;4 539;4 539;69;;24;23;4;2 470,00;2 108,19;958,53;3 066,72;1 825,65;;;4 892,37;1 426,63;6 319,00;5645,445;0;0;0;0;0;0;0;0;0;0;0;0;1372065;26688;Уголь каменныйЭкспортСеверо-Запад;76;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
170;Уголь каменный;1;УГОЛЬ Д;"АО ""Русский уголь""";РАЗРЕЗ КИРБИНСКИЙ, ООО;КРС;КАМЫШТА;88760;ЮУР;ЛЕБЯЖЬЯ-СИБР;82680;88760_82680;Внутр. перевозки;Юг;Внутр. перевозки (Юг);Полувагоны;повагонная;1 839;1 839;69;;8;8;4;2 470,00;1 167,61;586,85;1 754,46;715,94;;;2 470,40;1 426,63;3 897,03;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1372840;26688;Уголь каменныйВнутр. перевозкиЮг;97;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
171;Уголь каменный;1;УГОЛЬ Д;"АО ""Русский уголь""";РАЗРЕЗ КИРБИНСКИЙ, ООО;КРС;КАМЫШТА;88760;ЮУР;ПЕТУХОВО;82640;88760_82640;Внутр. перевозки;Юг;Внутр. перевозки (Юг);Полувагоны;повагонная;1 744;1 744;69;;8;8;4;2 470,00;1 128,96;570,68;1 699,64;715,94;;;2 415,58;1 426,63;3 842,21;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1372838;26688;Уголь каменныйВнутр. перевозкиЮг;97;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
172;Уголь каменный;1;УГОЛЬ Т;"ООО ""ЕвразХолдинг""";РУК, ООО;ЗСБ;ЗЕНЬКОВО;86400;ДВС;М.АСТАФЬЕВ-Э;98570;86400_98570;Экспорт;Восток;Экспорт (Восток);Полувагоны;группа вагонов;6 002;6 002;69;;17;18;4;2 470,00;2 584,49;1 171,15;3 755,64;1 396,09;1 292,85;;6 444,58;4 547,50;10 992,08;8015,67;0;0;0;0;0;0;0;0;0;0;0;0;1374016;26688;Уголь каменныйЭкспортВосток;98;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
173;Уголь каменный;1;КОНЦЕНТР УГОЛЬН;"ООО ""Новая горная управляющая компания""";ТРАНСГРУЗ, ООО;ЗСБ;КИЙЗАК;86480;ДВС;М.ЧУРКИН-ЭКС;98090;86480_98090;Экспорт;Восток;Экспорт (Восток);Полувагоны;маршрутная;5 769;5 769;69;;13;14;4;2 470,00;2 350,57;1 068,11;3 418,68;1 109,71;1 292,85;;5 821,24;8 811,99;14 633,23;10627,227;0;0;0;0;0;0;0;0;0;0;0;0;1366186;26688;Уголь каменныйЭкспортВосток;98;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
174;Уголь каменный;1;УГОЛЬ Т;"ООО ""Башкирский промышленный холдинг"" (ООО""Сибкапитал"")";РАЗРЕЗ КИЙЗАССКИЙ, ООО;ЗСБ;МЫСКИ;86470;ДВС;СТРЕЛКОВАЯ-Э;98350;86470_98350;Экспорт;Восток;Экспорт (Восток);Полувагоны;маршрутная;5 825;5 825;69;;13;14;4;2 470,00;2 350,57;1 068,11;3 418,68;1 109,71;1 292,85;;5 821,24;6 527,30;12 348,54;8015,67;0;0;0;0;0;0;0;0;0;0;0;0;1374147;26688;Уголь каменныйЭкспортВосток;98;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
175;Уголь каменный;1;УГОЛЬ Г;"АО ""Талтэк""";ТАЛТЭК, АО;ЗСБ;ЕРУНАКОВО;86300;СЕВ;ЧЕРЕПОВЕЦ 2;30250;86300_30250;Внутр. перевозки;Северо-Запад;Внутр. перевозки (Северо-Запад);Полувагоны;маршрутная;3 556;3 556;69;;9;10;4;2 470,00;1 551,72;747,80;2 299,52;823,33;;;3 122,85;4 426,45;7 549,30;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1368159;26688;Уголь каменныйВнутр. перевозкиСеверо-Запад;25;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
176;Уголь каменный;1;УГОЛЬ Д;"ООО ""Коулстар""";УК РАЗРЕЗ БЕЙСКИЙ, ООО;КРС;КАМЫШТА;88760;ОКТ;ЛУЖСКАЯ-ЭКСП;7640;88760_7640;Экспорт;Северо-Запад;Экспорт (Северо-Запад);Полувагоны;группа вагонов;4 523;4 523;75;;15;15;4;3 032,00;1 908,39;881,85;2 790,24;1 374,51;1 034,28;;5 199,03;7 326,90;12 525,93;5645,445;0;0;0;0;0;0;0;0;0;0;0;0;1372284;26688;Уголь каменныйЭкспортСеверо-Запад;76;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
177;Уголь каменный;1;КОНЦЕНТР УГОЛЬН;"ООО ""Новая горная управляющая компания""";ТРАНСГРУЗ, ООО;ЗСБ;КИЙЗАК;86480;СКВ;КИЗИТЕР-ЭКСП;51380;86480_51380;Экспорт;Юг;Экспорт (Юг);Полувагоны;группа вагонов;4 447;4 447;69;;14;15;4;2 470,00;2 057,96;929,21;2 987,17;1 181,30;872,24;;5 040,72;8 811,99;13 852,70;10110,087;0;0;0;0;0;0;0;0;0;0;0;0;1366399;26688;Уголь каменныйЭкспортЮг;0;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
178;Уголь каменный;1;УГОЛЬ Д;"АО ""СУЭК""";СУЭК-ХАКАСИЯ, ООО;КРС;ЧЕРНОГ.КОПИ;88790;СКВ;ЕЙСК-ЭКСПОРТ;51520;88790_51520;Экспорт;Юг;Экспорт (Юг);Полувагоны;группа вагонов;4 956;4 956;75;;15;15;4;3 032,00;1 954,39;922,32;2 876,71;1 374,51;872,24;;5 123,46;3 972,41;9 095,87;6895,2;0;0;0;0;0;0;0;0;0;0;0;0;1372328;26688;Уголь каменныйЭкспортЮг;0;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
