Код;Наименование;Код группы груза
81154;ЛЕСОМАТЕРИАЛЫ СУДОСТРОИТЕЛЬНЫЕ;4
81169;ЛЕСОМАТЕРИАЛЫ ТАРНЫЕ (КРЯЖ ТАРНЫЙ);4
81173;ЛЕСОМАТЕРИАЛЫ ФАНЕРНЫЕ (КРЯЖ ФАНЕРНЫЙ);4
81188;ПИЛОВОЧНИК ВСЯКИХ ПОРОД ДЕРЕВА;10
81192;ПОДПОРКИ ДЕРЕВЯННЫЕ (САДОВЫЕ, ВИНОГРАДНЫЕ);10
81205;СТОЛБЫ ДЕРЕВЯННЫЕ;10
82000;ЛЕСОМАТЕРИАЛЫ КРЕПЕЖНЫЕ;4
82015;ДОЛГОТЬЕ РУДНИЧНОЕ;10
82021;ПРОПСЫ (СТОЙКИ РУДНИЧНЫЕ);10
90007;ПРОДУКЦИЯ ЛЕСОПИЛЬНОГО И ФАНЕРНОГО ПРОИЗВОДСТВА;4
91008;ПИЛОМАТЕРИАЛЫ;4
91014;БАЛКИ ДЕРЕВЯННЫЕ;10
91029;ГОРБЫЛЬ;10
91033;ЕЛЬ РЕЗОНАНСОВАЯ ПИЛЕНАЯ;10
91048;ЗАГОТОВКИ ДЕРЕВЯННЫЕ ДЛЯ КАРАНДАШЕЙ;10
91052;ЗАГОТОВКИ ДЕРЕВЯННЫЕ ДЛЯ ОБРУЧЕЙ;10
91067;ЗАГОТОВКИ ДЕРЕВЯННЫЕ ЧЕРНОВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
91071;ЗАГОТОВКИ ДЛЯ ЛОЖ СПОРТИВНО-ОХОТНИЧЬЕГО ОРУЖИЯ;10
91086;КЛЕПКА ДЕРЕВЯННАЯ;10
91090;ОБАПОЛ;10
91103;ПИЛОМАТЕРИАЛЫ ДЛЯ ОБОРУДОВАНИЯ ГРУЗОВЫХ ВАГОНОВ ПОД ЛЮДСКИЕ ПЕРЕВОЗКИ;4
91118;ПИЛОМАТЕРИАЛЫ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;4
91122;СТОЙКИ ВАГОННЫЕ ДЕРЕВЯННЫЕ;10
91137;ТРАВЕРСЫ;10
91141;ШТАКЕТНИК;10
91156;ДОЩЕЧКИ ЯЩИЧНЫЕ (ДЕТАЛИ ТАРЫ ДЕРЕВЯННОЙ) ПРОДУКЦИЯ ШПАЛОПИЛЕНИЯ (БЕЗ ПРОПИТКИ);10
92002;;10
92017;БРУСЬЯ ДЛЯ СТРЕЛОЧНЫХ ПЕРЕВОДОВ НЕПРОПИТАННЫЕ;4
92021;БРУСЬЯ МОСТОВЫЕ ДЛЯ ЖЕЛЕЗНЫХ ДОРОГ НЕПРОПИТАННЫЕ;4
92036;ВЫРЕЗКА ШПАЛЬНАЯ;10
92040;ШПАЛЫ ДЕРЕВЯННЫЕ НЕПРОПИТАННЫЕ НОВЫЕ;10
92055;ШПАЛЫ ДЕРЕВЯННЫЕ НЕПРОПИТАННЫЕ СТАРЫЕ;10
93005;ПРОДУКЦИЯ ШПАЛОПИЛЕНИЯ (С ПРОПИТКОЙ);10
93013;БРУСЬЯ ДЛЯ СТРЕЛОЧНЫХ ПЕРЕВОДОВ ПРОПИТАННЫЕ;4
93024;БРУСЬЯ МОСТОВЫЕ ДЛЯ ЖЕЛЕЗНЫХ ДОРОГ ПРОПИТАННЫЕ;4
93039;ШПАЛЫ ДЕРЕВЯННЫЕ ПРОПИТАННЫЕ НОВЫЕ;10
93043;ШПАЛЫ ДЕРЕВЯННЫЕ ПРОПИТАННЫЕ СТАРЫЕ;10
94008;ФАНЕРА И ШПОН;10
94012;ПЛАСТИКИ ДРЕВЕСНЫЕ СЛОИСТЫЕ;10
94027;ПЛИТЫ ФАНЕРНЫЕ;10
94031;ТРУБЫ И МУФТЫ ФАНЕРНЫЕ;10
94046;ФАНЕРА БАКЕЛИЗИРОВАННАЯ;10
94050;ФАНЕРА ДЕКОРАТИВНАЯ;10
94065;ФАНЕРА ДЛЯ МУЗЫКАЛЬНЫХ КЛАВИШНЫХ ИНСТРУМЕНТОВ;10
94076;ФАНЕРА КЛЕЕНАЯ;10
94084;ФАНЕРА, ОБЛИЦОВАННАЯ СТРОГАНЫМ ШПОНОМ;10
94099;ФАНЕРА, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10
94101;ШПОН ЛУЩЕНЫЙ И СТРОГАНЫЙ;10
100001;ДРОВА, ДРЕВЕСИНА ТОПЛИВНАЯ ДЛЯ ТЕХНОЛОГИЧЕСКИХ НУЖД, ДРЕВЕСИНА ИЗМЕЛЬЧЕННАЯ;4
101004;ДРОВА;10
101019;ДРОВА ДОЛГОТЬЕ;10
101023;ДРОВА ИЗ ВСЯКИХ ПОРОД ДЕРЕВА, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
101042;ХВОРОСТ;10
102007;ДРЕВЕСИНА ТОПЛИВНАЯ ДЛЯ ТЕХНОЛОГИЧЕСКИХ НУЖД;4
