Код;Наименование;Код группы груза
433239;УДОБРЕНИЯ АММИАЧНО-НИТРАТНЫЕ: ОДНОРОДНЫЕ НЕРАЗДЕЛИМЫЕ СМЕСИ НИТРАТА АММОНИЯ С СУЛЬФАТОМ АММОНИЯ, СОДЕРЖАЩИЕ БОЛЕЕ 45%, НО НЕ БОЛЕЕ 70% НИТРАТА АММОНИЯ И НЕ БОЛЕЕ 0,4% ГОРЮЧЕГО ВЕЩЕСТВА;6
434000;УДОБРЕНИЯ КАЛИЙНЫЕ;6
434015;УДОБРЕНИЕ КАЛИЙНО-МАГНИЕВОЕ (КАИНИТ);10
434023;КАЛИЙ СЕРНОКИСЛЫЙ (КАЛИЯ СУЛЬФАТ) КАЛИЙ ХЛОРИСТЫЙ (КАЛИЯ ХЛОРИД);7
434034;;10
434049;КАЛИМАГНЕЗИЯ;10
434053;КАРНАЛЛИТ;10
434068;КОНЦЕНТРАТ КАЛИЙНО-МАГНИЕВЫЙ;10
434072;СИЛЬВИНИТ;10
434091;УДОБРЕНИЯ КАЛИЙНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;6
434104;КАЛИЙ ХЛОРИСТЫЙ (ХЛОРКАЛИЙ)- ЭЛЕКТРОЛИТ, ОТРАБОТАННЫЙ;7
435003;УДОБРЕНИЯ ФОСФОРНЫЕ (ФОСФАТНЫЕ);6
435018;МУКА ФОСФОРИТНАЯ;7
435022;ПРЕЦИПИТАТ (ДИКАЛЬЦИЙ ФОСФАТ);10
435037;СУПЕРФОСФАТ АММОНИЗИРОВАННЫЙ;6
435041;СУПЕРФОСФАТ ДВОЙНОЙ;6
435056;СУПЕРФОСФАТ ПРОСТОЙ;6
435060;ТРИКАЛЬЦИЙФОСФАТ;10
435075;УДОБРЕНИЯ ФОСФАТНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;6
435086;ФОСФОГИПС;5
435094;ФОСФОРОБАКТЕРИН;10
435107;ШЛАК ФОСФАТНЫЙ (ТОМАСШЛАК);10
436006;УДОБРЕНИЯ МИНЕРАЛЬНЫЕ ПРОЧИЕ;6
436010;АЗОФОСФАТ;10
436025;АММОФОС;10
436044;ДИАММОФОС;10
436059;ДИАММОФОСКА;10
436097;МОНОКАЛЬЦИЙФОСФАТ;10
436114;НИТРОАММОФОС;10
436129;НИТРОАММОФОСКА;10
436133;НИТРОДИАММОФОС;10
436148;НИТРОФОС;10
436152;НИТРОФОСКА;6
436167;ОСАДОК ФИЛЬТРАЦИОННЫЙ (ДЕФЕКАТ);10
436190;УДОБРЕНИЯ ХИМИЧЕСКИЕ И МИНЕРАЛЬНЫЕ ВСЯКИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ (т.ч ДИАМОНИЙФОСФАТ);6
436203;"УДОБРЕНИЯ СУСПЕНЗИОННО-КОМПЛЕКСНОЕ ""СКУ""";6
436218;"УДОБРЕНИЕ ЖИДКОЕ КОМПЛЕКСНОЕ ""ЖКУ""";10
440001;ПРОДУКЦИЯ ХИМИКО-ФАРМАЦЕВ-ТИЧЕСКОЙ И ПАРФЮМЕРНО-КОС­МЕТИЧЕСКОЙ ПРОМЫШЛЕННОСТИ. МЫЛО;10
441004;МЕДИКАМЕНТЫ, ХИМИКО-ФАРМАЦЕВТИЧЕСКАЯ ПРОДУКЦИЯ;10
441019;АДРЕНАЛИН;10
441023;АКРИХИН;10
441038;АЛКАЛОИДЫ РАСТИТЕЛЬНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
441042;АНТИБИОТИКИ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
441057;АНТИНИКОТИН;10
441061;АПТЕЧКИ;10
441076;БАЦИЛИХИН ДЛЯ ЖИВОТНОВОДСТВА;10
441080;БИНТЫ МАРЛЕВЫЕ;10
441095;БРОМОФОРМ (ТРИБРОММЕТАН);10
441108;БУТАДИОН;10
441112;ВАЗЕЛИН МЕДИЦИНСКИЙ;10
441127;ВАТА МЕДИЦИНСКАЯ;10
441131;ВИТАМИНЫ;10
441146;ГЕМАТОГЕН;10
441150;ГЛИКОГЕН;10
441165;ГЛИКОЗИДЫ;10
441170;ГЛИЦЕРИН ДУШИСТЫЙ;10
441184;ГРЯЗИ МИНЕРАЛЬНЫЕ ДЛЯ ВАНН;10
441199;ДРОЖЖИ ПИВНЫЕ МЕДИЦИНСКИЕ (ТОРУЛИН);10
441201;ИЗДЕЛИЯ (ПРОДУКЦИЯ) ХИМИКО-ФАРМАЦЕВТИЧЕСКИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
441216;ИЗДЕЛИЯ ИЗ МАРЛИ И ВАТЫ СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯ;10
441220;ЙОД ОДНОХЛОРИСТЫЙ МЕДИЦИНСКИЙ;7
441235;КАМФАРА МЕДИЦИНСКАЯ;10
441247;КАПЛИ ГОФМАНСКИЕ;10
441254;КОЛЛОДИЙ;10
441273;КОФЕИН (ЧИСТЫЙ, ПОРОШОК);10
441288;ЛАКРИЦА (СОК СОЛОДКОВОГО КОРНЯ);7
441292;ЛАНОЛИН ОЧИЩЕННЫЙ;10
441305;ЛЕЙКОПЛАСТЫРЬ БАКТЕРИЦИДНЫЙ;10
441339;ЛЯПИС (СЕРЕБРО АЗОТНОКИСЛОЕ);10
441343;МАГНЕЗИЯ СЕРНОКИСЛАЯ (СОЛЬ АНГЛИЙСКАЯ, СОЛЬ ГЛАУБЕРОВА МЕДИЦИНСКАЯ);10
441358;МАЗИ ЛЕЧЕБНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
441362;МАРЛЯ МЕДИЦИНСКАЯ;10
441377;МАСЛА ЛЕКАРСТВЕННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
441381;МАСЛА ЭФИРНЫЕ ФАРМАЦЕВТИЧЕСКИЕ (АИРНОЕ, АНИСОВОЕ, ЛИМОННОЕ, ПЕРСИКОВОЕ, ШАЛФЕЙНОЕ И ДР.);10
441396;МАСЛО ВАЗЕЛИНОВОЕ МЕДИЦИНСКОЕ;10
441409;МЕДИКАМЕНТЫ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
441428;ПАРАФИН МЕДИЦИНСКИЙ;10
441432;ПЕПСИН;10
441447;ПРЕПАРАТЫ ФЕРМЕНТНЫЕ (АМИЛОРИЗИН ПХ, ПЕКТАВАМОРИН П 10Х И Г 10Х И ДР.);10
441451;САБУР (ВЫСУШЕННЫЙ СОК ЛИСТЬЕВ АЛОЭ);10
441466;САХАРИН;10
441470;СОСТАВЫ ДЛЯ УГЛЕКИСЛЫХ ВАНН;10
441485;СПИРТ НАШАТЫРНЫЙ;10
441490;СРЕДСТВА ЛЕКАРСТВЕННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФВАВИТЕ;10
441502;СТРИХНИН;10
441517;СУЛЬФАМИДЫ;10
441521;СЫВОРОТКИ ЛЕЧЕБНЫЕ;10
441536;ТАНИН;10
441540;ХИНИН;10
441555;ЭКСТРАКТЫ ЛЕКАРСТВЕННЫЕ (ИЗ АЛОЭ, ХВОЙНОСОЛЯНЫЕ И ХВОЙНЫЕ НАТУРАЛЬНЫЕ И ДР.);10
442007;ПРОДУКЦИЯ ПАРФЮМЕРНО-КОСМЕТИЧЕСКОЙ И ЭФИРНО-МАСЛИЧНОЙ ПРОМЫШЛЕННОСТИ;10
442011;АМБРА;10
442026;ВОДЫ ДУШИСТЫЕ;10
442030;ДУХИ;10
442045;КРЕМ-ПУДРЫ;10
442057;МАСЛО ПАРФЮМЕРНОЕ;10
442064;МАСЛА ЭФИРНЫЕ НАТУРАЛЬНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
442079;МАСЛО ЭФИРНОЕ РОЗОВОЕ;10
442083;ОДЕКОЛОН;10
442098;ОТРУБИ МИНДАЛЬНЫЕ;10
442100;ПАСТА ЗУБНАЯ;10
442115;ПОМАДА ГУБНАЯ;10
442123;ПОРОШОК ЗУБНОЙ;10
442134;ПРОДУКЦИЯ ПАРФЮМЕРНО-КОСМЕТИЧЕСКОЙ ПРОМЫШЛЕННОСТИ, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10
442149;ШАМПУНИ;10
442153;ЭЛЕКСИРЫ ЗУБНЫЕ;10
442168;ЭССЕНЦИИ АРОМАТИЧЕСКИЕ;10
442172;ПАРФЮМЕРНЫЕ ПРОДУКТЫ, СОДЕРЖАЩИЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ РАСТВОРИТЕЛИ;10
443000;МЫЛО;10
443014;МЫЛО ТЕХНИЧЕСКОЕ ЖИДКОЕ;10
443029;МЫЛО ТУАЛЕТНОЕ ЖИДКОЕ;10
443033;МЫЛО ТУАЛЕТНОЕ ТВЕРДОЕ;10
443048;МЫЛО ХОЗЯЙСТВЕННОЕ ЖИДКОЕ;10
443052;МЫЛО ХОЗЯЙСТВЕННОЕ ТВЕРДОЕ;10
443067;СТРУЖКА СТИРАЛЬНАЯ;10
450003;КАУЧУКИ, РЕЗИНА, ИЗДЕЛИЯ РЕЗИНО-ТЕХНИЧЕСКИЕ, УГЛЕРОД ТЕХНИЧЕСКИЙ (САЖА);10
451006;КАУЧУКИ И ЛАТЕКСЫ;10
451010;БАЛАТА;10
451025;ГУТТАПЕРЧА;10
451033;КАУЧУК В РАСТВОРЕ;10
451044;КАУЧУК НАТУРАЛЬНЫЙ;10
451059;КАУЧУК СИНТЕТИЧЕСКИЙ ПИПЕРИЛЕНОВЫЙ (СКОП);10
451063;КАУЧУК СИНТЕТИЧЕСКИЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;10
451078;ЛАТЕКС-НАИРИТ;10
451082;ЛАТЕКСЫ С ТЕМПЕРАТУРОЙ ВСПЫШКИ БОЛЕЕ 61С, НО НЕ БОЛЕЕ 91С;10
451100;ТИОКОЛЫ ЖИДКИЕ;10
452009;РЕЗИНА, ИЗДЕЛИЯ РЕЗИНО-ТЕХНИЧЕСКИЕ И ЭБОНИТОВЫЕ;10
452013;АВТОКАМЕРЫ (КАМЕРЫ АВТОМОБИЛЬНЫЕ) РЕЗИНОВЫЕ НОВЫЕ;10
452028;АВТОПОКРЫШКИ (ПОКРЫШКИ АВТОМОБИЛЬНЫЕ) РЕЗИНОВЫЕ НОВЫЕ;10
452032;БАКИ ЭБОНИТОВЫЕ;10
452047;ВЕЛОКАМЕРЫ (КАМЕРЫ ВЕЛОСИПЕДНЫЕ) РЕЗИНОВЫЕ НОВЫЕ;10
452051;ВЕЛОПОКРЫШКИ (ПОКРЫШКИ ВЕЛОСИПЕДНЫЕ) РЕЗИНОВЫЕ НОВЫЕ;10
452066;ГУММИЭЛАСТИК;10
452070;ИЗДЕЛИЯ ГУБЧАТЫЕ ИЗ ЛАТЕКСА;10
452085;ИЗДЕЛИЯ ГУТТАПЕРЧЕВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
452096;ИЗДЕЛИЯ КАУЧУКОВЫЕ НОВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
452102;ИЗДЕЛИЯ РЕЗИНОТЕХНИЧЕСКИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
452117;ИЗДЕЛИЯ ЭБОНИТОВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
452121;КОЛЬЦА РЕЗИНОВЫЕ ВСЯКИЕ;10
452136;ЛЕНТА РЕЗИНОВАЯ;10
452140;МАТРАЦЫ РЕЗИНОВЫЕ;10
452155;МАТЫ РЕЗИНОВЫЕ;10
452162;МЕШКИ РЕЗИНОВЫЕ И ПРОРЕЗИНЕННЫЕ;10
452174;МОНОБЛОКИ ЭБОНИТОВЫЕ АККУМУЛЯТОРНЫЕ;10
452189;ПЕРЧАТКИ РЕЗИНОВЫЕ;10
452193;ПЛАСТИНЫ РЕЗИНОВЫЕ ВСЯКИЕ;10
452206;ПЛАСТИНЫ ИЗ ПЕНОРЕЗИНЫ;10
452210;ПОДОШВЫ РЕЗИНОВЫЕ;10
452225;ПОДУШКИ РЕЗИНОВЫЕ;10
452239;ПОДШИПНИКИ РЕЗИНОВЫЕ;10
452244;ПОКРЫШКИ АВТОБУСНЫЕ, МОТОЦИКЛЕТНЫЕ, ТРОЛЛЕЙБУСНЫЕ И ДРУГИЕ РЕЗИНОВЫЕ НОВЫЕ;10
452259;ПОРОИЗОЛ;10
452263;ПРОБКИ РЕЗИНОВЫЕ И ЭБОНИТОВЫЕ;10
452278;ПРОДУКЦИЯ ШИННОЙ ПРОМЫШЛЕННОСТИ НОВАЯ, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10
452282;ПЫЛЬ ЭБОНИТОВАЯ;10
452297;РЕЗИНА ВСЯКАЯ (В ТОМ ЧИСЛЕ ИСКУССТВЕННАЯ);10
452305;РУКАВА РЕЗИНОВЫЕ И ПРОРЕЗИНЕННЫЕ;10
452314;ТАРА ЭБОНИТОВАЯ, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10
452329;ТРУБКИ РЕЗИНОВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
452333;ШИНЫ ВСЯКИЕ РЕЗИНОВЫЕ НОВЫЕ;10
452348;ШЛАНГИ РЕЗИНОВЫЕ И ПРОРЕЗИНЕННЫЕ;10
452352;ЭБОНИТ;10
453001;ИЗДЕЛИЯ РЕЗИНОТЕХНИЧЕСКИЕ, БЫВШИЕ В УПОТРЕБЛЕНИИ, ВОССТАНОВЛЕННЫЕ;10
453016;АВТОКАМЕРЫ РЕЗИНОВЫЕ, БЫВШИЕ В УПОТРЕБЛЕНИИ, ВОССТАНОВЛЕННЫЕ;10
453020;АВТОПОКРЫШКИ РЕЗИНОВЫЕ, БЫВШИЕ В УПОТРЕБЛЕНИИ, ВОССТАНОВЛЕННЫЕ;10
453035;ВЕЛОКАМЕРЫ РЕЗИНОВЫЕ, БЫВШИЕ В УПОТРЕБЛЕНИИ, ВОССТАНОВЛЕННЫЕ;10
453049;ВЕЛОПОКРЫШКИ РЕЗИНОВЫЕ, БЫВШИЕ В УПОТРЕБЛЕНИИ, ВОССТАНОВЛЕННЫЕ;10
453054;ПОКРЫШКИ АВТОБУСНЫЕ, МОТОЦИКЛЕТНЫЕ, ТРОЛЛЕЙБУСНЫЕ И ДР. РЕЗИНОВЫЕ, БЫВШИЕ В УПОТРЕБЛЕНИИ, ВОССТАНОВЛЕННЫЕ;10
453069;ПРОДУКЦИЯ ШИННОЙ ПРОМЫШЛЕННОСТИ РЕЗИНОВАЯ, БЫВШАЯ В;10
;УПОТРЕБЛЕНИИ, ВОССТАНОВЛЕННАЯ;
454004;УГЛЕРОД ТЕХНИЧЕСКИЙ (САЖА);10
454019;УГЛЕРОД ТЕХНИЧЕСКИЙ;10
460005;СМОЛЫ ПРИРОДНЫЕ И СИНТЕТИЧЕСКИЕ. ВОЛОКНА СИНТЕТИЧЕСКИЕ, ПЛАСТМАССЫ И ИЗДЕЛИЯ ИЗ НИХ. КЛЕЙ. КРАСКИ;10
461008;СМОЛЫ СИНТЕТИЧЕСКИЕ И ПЛАСТИЧЕСКИЕ МАССЫ;10
461012;АКРИЛНИТРИЛСТИРОЛ;10
461027;АМИНОПЛАСТЫ;10
461031;АСБОПЕКОЛИТ;10
461046;АСБОТЕКСТОЛИТ;10
461050;БАКЕЛИТ;10
461065;ВИНИПЛАСТ ЛИСТОВОЙ;10
461072;ВОЛОКНИТ;10
461084;ГАЛАЛИТ;10
461099;ГЕТИНАКС;10
461101;ГИПАН (ГИДРОЛИЗОВАННЫЙ ПОЛИАКРИЛОНИТРИЛ);10
461116;ЖИДКОСТИ КРЕМНИЙОРГАНИЧЕСКИЕ ГКЖ-10, ГКЖ-11;10
461120;ИДИТОЛ;10
461135;ИПОРКА;10
461149;КАРБОКСИМЕТИЛЦЕЛЛЮ-ЛОЗА;10
461154;КАРБОЛИТ;10
461169;КИТРА;10
461173;КОПАЛЫ СИНТЕТИЧЕСКИЕ;10
461188;КРОШКА КАРБОЛИТОВАЯ, КАПРОНОВАЯ И ТЕКСТОЛИТОВАЯ;10
461192;МАССА АСБОВИНИЛОВАЯ ФУТЕРОВОЧНАЯ;10
461205;МАССЫ ПЛАСТИЧЕСКИЕ (ПЛАСТМАССЫ), НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
461215;МИКАЛЕКС В ПЛАСТИНАХ;10
461224;МИПОРА;10
461239;НЕОЛЕЙКОРИТ;10
461262;ОЛИГОМЕРЫ;10
461277;ОРГСТЕКЛО ЛИСТОВОЕ (ПЛЕКСИГЛАС);10
461281;ЗАГУСТИТЕЛЬ АКРИЛОВЫЙ ВОДОРАСТВОРИМЫЙ;10
461296;ПЕНОПЛАСТЫ (ПОРОПЛАСТЫ);10
461309;ПЕНОПОЛИУРЕТАНЫ;10
461313;ПЛАСТИК БУМАЖНОСЛОИСТЫЙ, ДЕКОРАТИВНЫЙ;10
461328;ПОЛИАКРИЛАМИДЫ (ПОЛИАКРИЛАМИДНАЯ СМОЛА);10
461332;ПОЛИВИНИЛАЦЕТАТ;10
461347;ПОЛИВИНИЛБУТИРАЛЬ;10
461351;ПОЛИВИНИЛХЛОРИД;10
461366;ПОЛИПРОПИЛЕН;10
461370;ПОЛИСТИРОЛ;10
461385;ПОЛИЭТИЛЕН;10
461391;ПОЛИЭФИР ТГМ-3;10
461402;ПРЕСС-ПОРОШКИ (ПОРОШКИ ПРЕССОВОЧНЫЕ), НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
461417;ПРОЧИЕ ПОЛИМЕРЫ;10
461421;СИЛИКОНЫ (КРЕМНИЙ-ОРГАНИЧЕСКИЕ ПОЛИМЕРЫ);10
461436;СМОЛА ПОЛИАМИДНАЯ (ВОДАМИН-115);10
461440;СМОЛА ФЕНОЛОФОРМАЛЬДЕГИДНАЯ, РАСТВОР В КСИЛОЛЕ;10
461455;СМОЛЫ АКРИЛОВЫЕ, РАСТВОР В СМЕСИ ИЗОПРОПИЛОВОГО СПИРТА И АЦЕТОНА;10
461468;СМОЛЫ АЛКИДНО-АКРИЛОВЫЕ, РАСТВОР В КСИЛОЛЕ;10
461474;СМОЛЫ АЛКИДНЫЕ;10
461489;СМОЛЫ ИОНООБМЕННЫЕ;10
461493;СМОЛЫ КАРБАМИДОФОРМАЛЬДЕГИДНЫЕ;6
461506;СМОЛЫ МЕЛАМИНОФОРМАЛЬДЕГИДНЫЕ;10
461510;СМОЛЫ МЕЛАМИНОФОРМАЛЬДЕГИДНЫЕ, РАСТВОР В БУТАНОЛЕ;10
461525;СМОЛЫ МОЧЕВИНОФОРМАЛЬДЕГИДНЫЕ, СМЕСИ С БУТАНОЛОМ;10
461534;СМОЛЫ КАРБОМИДОФУРАНОВЫЕ;10
461544;СМОЛЫ СИНТЕТИЧЕСКИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
461559;СМОЛЫ ФЕНОЛОФОРМАЛЬДЕГИДНЫЕ, ВОДНЫЕ РАСТВОРЫ;10
461563;СМОЛЫ ФЕНОЛОФОРМАЛЬДЕГИДНЫЕ, ВСПЕНИВАЮЩИЕСЯ;10
461578;СМОЛЫ ФЕНОЛОФОРМАЛЬДЕГИДНЫЕ, ЖИДКИЕ, ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ;10
461582;СМОЛЫ ФЕНОЛОФОРМАЛЬДЕГИДНЫЕ, ЖИДКИЕ, С ТЕМПЕРАТУРОЙ ВСПЫШКИ БОЛЕЕ 60С, НО НЕ БОЛЕЕ 90С;10
461597;СМОЛЫ ФЕНОЛОФУРАНОВЫЕ;10
461600;СМОЛЫ ФОРМАЛЬДЕГИДНЫЕ;10
461614;СОПОЛИМЕР 5Б;10
461629;СОПОЛИМЕР БМС-80, РАСТВОР В СМЕСИ РАСТВОРИТЕЛЕЙ;10
461633;СОПОЛИМЕР ВБМ, РАСТВОР В ТОЛУОЛЕ;10
461648;СОПОЛИМЕРЫ НА ОСНОВЕ ВИНИЛХЛОРИДА (ВОДНЫЕ);10
461652;СОПОЛИМЕРЫ ПРОПИЛЕНА;10
461667;СТЕКЛОПЛАСТИК ЛИСТОВОЙ;10
461671;СТЕКЛОТЕКСТОЛИТ;10
461686;ТЕКСТОЛИТ ВСЯКИЙ;10
461690;ФАОЛИТ В ЛИСТАХ;10
461718;ФТОРОПЛАСТЫ;10
461722;ЦЕЛЛОН;10
461737;ЦЕЛЛОФАН;10
461741;ЦЕЛЛУЛОИД;10
461756;ЭМУЛЬСИИ АКРИЛОВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
461760;ЭМУЛЬСИЯ ПОЛИВИНИЛАЦЕТАТНАЯ;10
461775;ЭТРОЛ НИТРОЦЕЛЛЮЛОЗНЫЙ;10
461787;ПОЛИДИЕН;10
461794;ПОЛИХЛОРБУТАН-80;10
461807;СТАКРИЛЛАТ-1;10
462000;ИЗДЕЛИЯ ИЗ ПЛАСТИЧЕСКИХ МАСС И СИНТЕТИЧЕСКИХ СМОЛ;10
462015;БАКИ КАРБОЛИТОВЫЕ;10
462025;ВАННЫ ФАОЛИТОВЫЕ;10
462034;ВТУЛКИ ТЕКСТОЛИТОВЫЕ;10
462049;ИЗДЕЛИЯ БАКЕЛИТОВЫЕ;10
462053;ИЗДЕЛИЯ ГАЛАЛИТОВЫЕ;10
462068;ИЗДЕЛИЯ ИЗ ВИНИПЛАСТА;10
462072;ИЗДЕЛИЯ ИЗ ОРГАНИЧЕСКОГО СТЕКЛА (ПЛЕКСИГЛАСА);10
462087;ИЗДЕЛИЯ ИЗ ПЛАСТИКАТА ПОЛИХЛОРВИНИЛОВОГО;10
462091;ИЗДЕЛИЯ ИЗ ПЛАСТМАСС, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
462104;ИЗДЕЛИЯ ИЗ ФЕНОПЛАСТА;10
462119;ИЗДЕЛИЯ ПОРОЛОНОВЫЕ (ПЕНОПОЛИУРЕТАНОВЫЕ);10
462123;ИЗДЕЛИЯ ТЕКСТОЛИТОВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
462138;ИЗДЕЛИЯ ФАОЛИТОВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
462142;ИЗДЕЛИЯ ИЗ ЦЕЛЛУЛОИДА;10
462157;КАНИСТРЫ ПОЛИЭТИЛЕНОВЫЕ;10
462161;КИНОПЛЕНКА НА НИТРОЦЕЛЛЮЛОЗНОЙ ОСНОВЕ;10
462176;КИНОПЛЕНКИ;10
462195;ЛЕНТЫ МАГНИТНЫЕ ДЛЯ ЗАПИСИ ЗВУКА;10
462208;ПЕРФОЛЬ (ПЛЕНКА ПОЛИАМИДНАЯ);10
462212;ПЛЕНКА АНТИКОРРОЗИЙНАЯ;10
462227;ПЛЕНКА КИНЕМАТОГРА-ФИЧЕСКАЯ БИТАЯ;10
462231;ПЛЕНКА ПОЛИХЛОРВИНИЛОВАЯ, ПОЛИЭТИЛЕНОВАЯ И ДР., НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10
462246;ПЛЕНКА РЕНТГЕНОВСКАЯ;10
462250;ПЛЕНКА ЦЕЛЛОФАНОВАЯ;10
462265;ПЛИТКИ ПЛАСТМАССОВЫЕ ВСЯКИЕ;10
462278;ПОДОШВЫ ИЗ ПОЛИУРЕТАНА;10
462284;ПОРОЛОН;10
462299;ТРУБЫ ИЗ СИНТЕТИЧЕСКИХ МАТЕРИАЛОВ;10
462301;ФОТОБУМАГА;10
462316;ФОТОПЛЕНКА НА НИТРОЦЕЛЛЮЛОЗНОЙ ОСНОВЕ;10
462320;ФОТОПЛЕНКИ;10
462335;ЯЩИКИ (ТАРА) ИЗ ПОЛИЭТИЛЕНА;10
463003;ВОЛОКНА ИСКУССТВЕННЫЕ И СИНТЕТИЧЕСКИЕ;10
463018;АНИД (ВОЛОКНО СИНТЕТИЧЕСКОЕ);10
463022;ВОЛОКНА ИСКУССТВЕННЫЕ И СИНТЕТИЧЕСКИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
463037;КАПРОН (ВОЛОКНО СИНТЕТИЧЕСКОЕ);10
463041;ЛАВСАН (ВОЛОКНО СИНТЕТИЧЕСКОЕ);10
463056;НИТИ ИСКУССТВЕННЫЕ И СИНТЕТИЧЕСКИЕ;10
463060;НИТРОН (ВОЛОКНО СИНТЕТИЧЕСКОЕ);10
463075;ХЛОРИН (ВОЛОКНО СИНТЕТИЧЕСКОЕ);10
463088;ШТАПЕЛЬ (ВОЛОКНО ИСКУССТВЕННОЕ);10
463094;ФИЛЬТРЫ АЦЕТАТНЫЕ;10
464006;КЛЕЙ;10
464010;БАЛЬЗАМ ПИХТОВЫЙ;10
464025;БУСТИЛАТ;10
464059;ЖЕЛАТИН ТЕХНИЧЕСКИЙ;10
464063;КАЗЕИН ПИЩЕВОЙ И ТЕХНИЧЕСКИЙ;10
464078;КЛЕИ, СОДЕРЖАЩИЕ ЛЕГКОВОСПЛАМЕНЯЮЩУЮСЯ ЖИДКОСТЬ;10
464082;КЛЕЙ КАЗЕИНОВЫЙ;10
464097;КЛЕЙ КАНИФОЛЬНЫЙ;10
464114;КЛЕЙ РЕЗИНОВЫЙ;10
464129;КЛЕЙ СИНТЕТИЧЕСКИЙ;10
464133;КЛЕЙ СТОЛЯРНЫЙ;10
464148;КЛЕЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;10
464152;КОСТЬ ДЛЯ ПРОИЗВОДСТВА КЛЕЯ;10
464167;УГОЛЬ КОСТЯНОЙ;1
464171;ШРОТ КОСТНЫЙ;10
465009;СМОЛЫ ПРИРОДНЫЕ;10
465013;БЛАК;10
465028;ВАР ЛЕСОХИМИЧЕСКИЙ;4
465032;ВАР ПРОСТИЛОЧНЫЙ;10
465047;ВОСК ХВОЙНЫЙ;10
465051;ГАЛИПОТ СМОЛЬНЫЙ;10
465066;ГУММИ (КАМЕДИ) ВСЯКИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
465070;ГУММИЛАК (ШЕЛЛАК);10
465085;ЖИВИЦА (ТЕРПЕНТИН);10
465093;КЛЕЙ ВИШНЕВЫЙ И СМОЛЯНОЙ;10
465102;КОПАЛЫ ПРИРОДНЫЕ;10
465117;СЕРКА ЕЛОВАЯ;10
465121;СМОЛА ДРЕВЕСНАЯ;10
465136;СМОЛЫ ПРИРОДНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
465140;СМОЛЫ СЛАНЦЕВЫЕ;10
465155;СМОЛА СЕРЯНКА;10
466001;МАТЕРИАЛЫ ЛАКОКРАСОЧНЫЕ. КРАСИТЕЛИ СИНТЕТИЧЕСКИЕ. ГРУНТОВКИ И ШПАКЛЕВКИ МАЛЯРНЫЕ, МАСТИКИ;10
466016;БАКАН (КРАСИТЕЛЬ);10
466020;БЕЛИЛА ЛИТОПОННЫЕ (ЛИТОПОН), СВИНЦОВЫЕ, ТИТАНОВЫЕ, ЦИНКОВЫЕ И ДР., НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
466035;ДВУОКИСЬ ТИТАНА (ПИГМЕНТНАЯ);10
466046;ДИАЗОЛЬ;10
466054;ДИОКСАНОЛ-РАСТВОРИТЕЛЬ;10
