Код;Наименование;Код группы груза
77021;КОЖИ НЕВЫДЕЛАННЫЕ ВСЯКИЕ
77036;ЛОСКУТ КОЖАНЫЙ НЕВЫДЕЛАННЫЙ
77040;МЕРЛУШКИ (ШКУРКИ ОВЕЧЬИ) НЕВЫДЕЛАННЫЕ
77055;ОВЧИНЫ (ШКУРЫ БАРАНЬИ И ОВЕЧЬИ) НЕВЫДЕЛАННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
77066;ПУШНИНА НЕВЫДЕЛАННАЯ, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ СМУШКИ (ШКУРКИ ОВЕЧЬИ) НЕВЫДЕЛАННЫЕ
77074;
77089;СЫРЬЕ КОЖАНОЕ МОКРОСОЛЕНОЕ
77093;СЫРЬЕ КОЖАНОЕ СУХОСОЛЕНОЕ
77106;ХВОСТЫ ПУШНИНЫ НЕВЫДЕЛАННЫЕ
77110;ШКУРКИ (МЕХА) ПУШНЫХ ЗВЕРЕЙ НЕВЫДЕЛАННЫЕ
77125;ШКУРЫ И ШКУРКИ ДОМАШНИХ ЖИВОТНЫХ МЕХОВЫЕ НЕВЫДЕЛАННЫЕ
77132;ШКУРКИ ЗМЕИНЫЕ НЕВЫДЕЛАННЫЕ
77144;ШКУРЫ И ШКУРКИ НЕВЫДЕЛАННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
77159;ШКУРЫ МОРСКОГО ЗВЕРЯ НЕВЫДЕЛАННЫЕ
77163;ШКУРЫ РЫБ НЕВЫДЕЛАННЫЕ
78005;УДОБРЕНИЯ ОРГАНИЧЕСКИЕ
78019;АГРИМУС (ЛИГНИН ГИДРОЛИЗНЫЙ ДЛЯ УДОБРЕНИЯ)
78024;ГУАНО
78039;МУКА КОСТНАЯ
78043;НАВОЗ
78058;ТУКИ ЗЕМЛЕУДОБРИТЕЛЬНЫЕ ОРГАНИЧЕСКИЕ (КОМПОСТЫ)
78062;УДОБРЕНИЯ ОРГАНИЧЕСКИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
80005;ЛЕСОМАТЕРИАЛЫ КРУГЛЫЕ
81008;ЛЕСОМАТЕРИАЛЫ КРУГЛЫЕ, КРОМЕ КРЕПЕЖНЫХ
81012;БАМБУК
81027;БАЛАНСЫ ВСЯКИХ ПОРОД ДЕРЕВА ДЛИНОЙ ДО 1,5 М ВКЛЮЧИТЕЛЬНО, КРОМЕ ХВОЙНЫХ
