Код ЕСР;shortname;fullname;region_shortname;region_fullname;Тип региона;КОД дороги
14338;ПОЛЯРН.КРУГ;ПОЛЯРНЫЙ КРУГ ;Карелия;Республика Карелия;Республика;ОКТ
14357;ПОЯКОНДА;ПОЯКОНДА ;Карелия;Республика Карелия;Республика;ОКТ
14361;ЛЕСНОЙ;ЛЕСНОЙ ;Мурманская;Мурманская Область;Область;ОКТ
14376;КОВДА;КОВДА ;Мурманская;Мурманская Область;Область;ОКТ
14408;КНЯЖАЯ;КНЯЖАЯ ;Мурманская;Мурманская Область;Область;ОКТ
14431;ЖЕМЧУЖНАЯ;ЖЕМЧУЖНАЯ ;Мурманская;Мурманская Область;Область;ОКТ
14450;РУЧЬИ-КАРЕЛ.;РУЧЬИ-КАРЕЛЬСКИЕ ;Мурманская;Мурманская Область;Область;ОКТ
14465;ОП 1147 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1147 КМ ;Мурманская;Мурманская Область;Область;ОКТ
14516;КИРКИ;КИРКИ ;Мурманская;Мурманская Область;Область;ОКТ
14520;ПЛ 11 КМ;ПЛАТФОРМА 11 КМ ;Мурманская;Мурманская Область;Область;ОКТ
14535;ПЛ 16 КМ;ПЛАТФОРМА 16 КМ ;Мурманская;Мурманская Область;Область;ОКТ
14545;ВУД-ОЗЕРО;ВУД-ОЗЕРО ;Мурманская;Мурманская Область;Область;ОКТ
14554;ПЛ 20 КМ;ПЛАТФОРМА 20 КМ ;Мурманская;Мурманская Область;Область;ОКТ
14569;ПЛ 26 КМ;ПЛАТФОРМА 26 КМ ;Мурманская;Мурманская Область;Область;ОКТ
14573;БУДАССИ;БУДАССИ ;Мурманская;Мурманская Область;Область;ОКТ
14588;ПЛ 38 КМ;ПЛАТФОРМА 38 КМ ;Мурманская;Мурманская Область;Область;ОКТ
14605;БЕЛ.МОРЕ-ЭКС;БЕЛОЕ МОРЕ-ЭКСПОРТ ;Мурманская;Мурманская Область;Область;ОКТ
14611;НЯМ-ОЗЕРО;НЯМ-ОЗЕРО ;Мурманская;Мурманская Область;Область;ОКТ
14624;ТОВАНД;ТОВАНД ;Мурманская;Мурманская Область;Область;ОКТ
14639;ПЛ 57 КМ;ПЛАТФОРМА 57 КМ ;Мурманская;Мурманская Область;Область;ОКТ
14643;КАПРАЕВО;КАПРАЕВО ;Мурманская;Мурманская Область;Область;ОКТ
14658;ПЛ 62 КМ;ПЛАТФОРМА 62 КМ ;Мурманская;Мурманская Область;Область;ОКТ
14681;ПЛ 93 КМ;ПЛАТФОРМА 93 КМ ;Мурманская;Мурманская Область;Область;ОКТ
14709;АЛАКУРТИ;АЛАКУРТИ ;Мурманская;Мурманская Область;Область;ОКТ
14802;БЕЛОЕ МОРЕ;БЕЛОЕ МОРЕ ;Мурманская;Мурманская Область;Область;ОКТ
14817;ОП 1157 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1157 КМ ;Мурманская;Мурманская Область;Область;ОКТ
14821;ПРОЛИВЫ;ПРОЛИВЫ ;Мурманская;Мурманская Область;Область;ОКТ
14906;КАНДАЛАКША;КАНДАЛАКША ;Мурманская;Мурманская Область;Область;ОКТ
14910;ОП 1175 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1175 КМ ;Мурманская;Мурманская Область;Область;ОКТ
14925;ОП 1178 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1178 КМ ;Мурманская;Мурманская Область;Область;ОКТ
14930;ПЛЕСОЗЕРО;ПЛЕСОЗЕРО ;Мурманская;Мурманская Область;Область;ОКТ
14944;ОП 1186 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1186 КМ ;Мурманская;Мурманская Область;Область;ОКТ
