etsng_code;etsng_name;cargo_group_code;cargo_group_name
303162;МУЛЛИТ;10;Остальные грузы
303177;МУФЕЛИ ГЛИНЯНЫЕ;10;Остальные грузы
303181;ПЕНОШАМОТ;10;Остальные грузы
303196;ПЛИТЫ ВУЛКАНИТОВЫЕ;10;Остальные грузы
303209;ПЛИТЫ И ПЛИТКИ ДИАБАЗОВЫЕ ОГНЕУПОРНЫЕ;10;Остальные грузы
303213;ПЛИТЫ И ПЛИТКИ МАГНЕЗИТОВЫЕ;10;Остальные грузы
303228;ПОРОШОК АСБОШИФЕРНЫЙ;10;Остальные грузы
303232;ПОРОШОК ДУНИТОВЫЙ;10;Остальные грузы
303247;ПОРОШОК МАГНЕЗИТОВЫЙ МЕТАЛЛУРГИЧЕСКИЙ;10;Остальные грузы
303251;ПОРОШОК ХРОМИТОВЫЙ ОГНЕУПОРНЫЙ;10;Остальные грузы
303266;ПОРОШОК ШАМОТНЫЙ ВСЯКИЙ;10;Остальные грузы
303270;СЕГМЕНТЫ ДИАТОМИТОВЫЕ;10;Остальные грузы
303285;СОСТАВЫ ОГНЕУПОРНЫЕ ВСЯКИЕ;10;Остальные грузы
303290;СТЕКЛОБРУС ОГНЕУПОРНЫЙ (БРУС КАОЛИНОВЫЙ, МУЛЛИТОВЫЙ);4;Лесные грузы
303302;СТЕРЖНИ СЕЛИТОВЫЕ;10;Остальные грузы
303317;ТЕРМОБЛОК (КАМЕНЬ ЦЕМЕНТНО-ДИАТОМИТОШЛАКОВЫЙ);5;Минерально-строит.
303321;ТЕРРАФАЗЕРИТ;10;Остальные грузы
303336;ТИГЛИ ГРАФИТОВЫЕ ОГНЕУПОРНЫЕ;10;Остальные грузы
303340;ТИГЛИ КЕРАМИЧЕСКИЕ ОГНЕУПОРНЫЕ;10;Остальные грузы
303355;ТИГЛИ ШАМОТНЫЕ ОГНЕУПОРНЫЕ;10;Остальные грузы
303367;ЭЛЕКТРОДЫ СЕЛИТОВЫЕ НАГРЕВАТЕЛЬНЫЕ;10;Остальные грузы
304004;АСБЕСТ И СЛЮДА;10;Остальные грузы
304019;АСБЕСТ;10;Остальные грузы
304023;ВЕРМИКУЛИТ (СЛЮДА);10;Остальные грузы
