index;key;origin;dest;cargo_name;message_type;in_rzd;rzd_routes_count
238;81420_98510;81420;98510;ЧУГУН ПЕР РЯД;Экспорт (Восток);True;3
239;81760_23600;81760;23600;СТАЛЬ ЛИСТ КРОВ;Внутр. перевозки (Северо-Запад);True;14
240;23670_91140;23670;91140;ТРУБЫ СТ БОЛЬШ;Внутр. перевозки (Восток);True;2
241;80120_98210;80120;98210;ПРОК ЧЕРМЕТ ПР;Внутр. перевозки (Восток);True;11
243;30250_20120;30250;20120;СТАЛЬ ЛИСТ ПР;Экспорт (Северо-Запад);True;27
244;21190_18350;21190;18350;ЧУГУН ПЕР РЯД;Внутр. перевозки (Северо-Запад);True;3
245;65430_2410;65430;2410;КАТАНКА СТ;Внутр. перевозки (Северо-Запад);True;3
246;80120_19330;80120;19330;СТАЛЬ СОРТ;Внутр. перевозки (Северо-Запад);True;21
247;59220_3590;59220;3590;СТАЛЬ ЛИСТ ПР;Экспорт (Северо-Запад);True;19
248;81760_98210;81760;98210;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Восток);True;45
249;78170_17140;78170;17140;ТРУБЫ МЕТ ПР;Экспорт (Северо-Запад);True;3
250;51150_79700;51150;79700;ТРУБЫ БЕСШОВ;Внутр. перевозки (Юг);True;15
251;51150_79800;51150;79800;ТРУБЫ БЕСШОВ;Внутр. перевозки (Юг);True;13
252;78170_79800;78170;79800;ТРУБЫ МЕТ ПР;Внутр. перевозки (Юг);True;12
253;80120_17140;80120;17140;ПРОК ЧЕРМЕТ ПР;Экспорт (Северо-Запад);True;8
254;81760_54490;81760;54490;СТАЛЬ ЛИСТ ПР;Экспорт (Юг);True;108
255;43860_90430;43860;90430;ШАРЫ СТ ПОМОЛ;Внутр. перевозки (Восток);True;5
256;30250_64840;30250;64840;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;69
257;80120_2410;80120;2410;КАТАНКА СТ;Внутр. перевозки (Северо-Запад);True;3
258;30250_20540;30250;20540;ШАРЫ СТ ПОМОЛ;Внутр. перевозки (Северо-Запад);True;37
259;24360_64780;24360;64780;ПРОК ЧЕРМЕТ ПР;Внутр. перевозки (Юг);True;21
260;81420_23670;81420;23670;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Северо-Запад);True;6
261;59220_53310;59220;53310;СЛЯБЫ;Экспорт (Юг);True;26
262;51150_54490;51150;54490;ТРУБЫ ВОДГАЗ ПР;Экспорт (Юг);True;9
263;59220_98610;59220;98610;СТАЛЬ ЛИСТ ТРАН;Экспорт (Восток);True;9
264;30250_3160;30250;3160;ЗАГОТ Д/ПЕР КАЧ;Внутр. перевозки (Северо-Запад);True;24
265;59220_24360;59220;24360;ЗАГОТ Д/ПЕР КАЧ;Внутр. перевозки (Юг);True;11
266;80060_95630;80060;95630;ТРУБЫ СТ БОЛЬШ;Внутр. перевозки (Восток);True;3
267;61010_92710;61010;92710;ТРУБЫ БЕСШОВ;Внутр. перевозки (Восток);True;3
268;80120_65430;80120;65430;ЗАГОТ Д/ПЕР КАЧ;Внутр. перевозки (Юг);True;14
